"table_schema";"table_name";"column_name";"data_type";"character_maximum_length";"is_nullable";"column_default";"column_description"
"admin";"request_mobile_tab";"request_mobile_status_id";"integer";null;"NO";"null";"null"
"admin";"request_mobile_tab";"employee_id";"integer";null;"NO";"null";"null"
"admin";"request_mobile_tab";"request_json";"text";null;"YES";"null";"null"
"admin";"request_mobile_tab";"response_json";"text";null;"YES";"null";"null"
"admin";"request_mobile_tab";"rowversion";"timestamp without time zone";null;"NO";"null";"null"
"admin";"request_mobile_tab";"random_num";"bigint";null;"YES";"null";"null"
"admin";"request_mobile_tab";"error_msg";"text";null;"YES";"null";"null"
"admin";"request_mobile_tab";"version_num";"character varying";255;"YES";"null";"null"
"admin";"sign_process_tab";"sign_process_id";"uuid";null;"NO";"null";"null"
"admin";"sign_process_tab";"file_name";"text";null;"NO";"null";"null"
"admin";"sign_process_tab";"orig_file";"text";null;"YES";"null";"null"
"admin";"sign_process_tab";"wm_file";"text";null;"YES";"null";"null"
